DATE;TOTALSA
1/06/2006;16,9
1/07/2006;17,662
1/08/2006;16,458
1/09/2006;16,974
1/10/2006;16,865
1/11/2006;16,657
1/12/2006;17,107
1/01/2007;16,896
1/02/2007;17,169
1/03/2007;16,438
1/04/2007;16,615
1/05/2007;16,661
1/06/2007;16,179
1/07/2007;15,837
1/08/2007;16,379
1/09/2007;16,532
1/10/2007;16,455
1/11/2007;16,354
1/12/2007;16,03
1/01/2008;15,705
1/02/2008;15,491
1/03/2008;15,114
1/04/2008;14,605
1/05/2008;14,697
1/06/2008;14,377
1/07/2008;13,006
1/08/2008;14,119
1/09/2008;12,961
1/10/2008;10,933
1/11/2008;10,526
1/12/2008;10,383
1/01/2009;9,786
1/02/2009;9,223
1/03/2009;9,748
1/04/2009;9,379
1/05/2009;10,176
1/06/2009;10,149
1/07/2009;11,566
1/08/2009;14,754
1/09/2009;9,535
1/10/2009;10,576
1/11/2009;11,041
1/12/2009;11,284
1/01/2010;10,893
1/02/2010;10,315
1/03/2010;11,772
1/04/2010;11,454
1/05/2010;12,03
1/06/2010;11,598
1/07/2010;11,948
1/08/2010;12,014
1/09/2010;11,922
1/10/2010;12,414
1/11/2010;12,3
1/12/2010;12,605
1/01/2011;12,806
1/02/2011;13,081
1/03/2011;13,259
1/04/2011;13,326
1/05/2011;12,28
1/06/2011;11,886
1/07/2011;12,72
1/08/2011;12,604
1/09/2011;13,356
1/10/2011;13,73
1/11/2011;13,743
1/12/2011;13,798
1/01/2012;14,395
1/02/2012;14,975
1/03/2012;14,594
1/04/2012;14,769
1/05/2012;14,496
1/06/2012;14,467
1/07/2012;14,38
1/08/2012;14,444
1/09/2012;15,099
1/10/2012;14,83
1/11/2012;15,456
1/12/2012;15,462
1/01/2013;15,813
1/02/2013;15,861
1/03/2013;15,721
1/04/2013;15,811
1/05/2013;15,884
1/06/2013;16,149
1/07/2013;16,021
1/08/2013;15,827
1/09/2013;15,857
1/10/2013;15,727
1/11/2013;16,079
1/12/2013;15,835
1/01/2014;15,614
1/02/2014;15,993
1/03/2014;16,985
1/04/2014;16,695
1/05/2014;17,137
1/06/2014;17,516
1/07/2014;17,277
1/08/2014;17,239
1/09/2014;16,959
1/10/2014;16,756
1/11/2014;16,949
1/12/2014;17,178
1/01/2015;16,912
1/02/2015;16,895
1/03/2015;17,894
1/04/2015;17,689
1/05/2015;17,945
1/06/2015;17,881
1/07/2015;18,305
1/08/2015;18,407
1/09/2015;18,273
1/10/2015;18,272
1/11/2015;18,32
1/12/2015;17,492
1/01/2016;18,07
1/02/2016;18,08
1/03/2016;17,29
1/04/2016;17,664
1/05/2016;17,697
1/06/2016;17,728
1/07/2016;18,123
1/08/2016;17,917
1/09/2016;17,949
1/10/2016;17,966
1/11/2016;17,785
1/12/2016;18,278
1/01/2017;17,654
1/02/2017;17,702
1/03/2017;17,047
1/04/2017;17,188
1/05/2017;17,07
1/06/2017;17,122
1/07/2017;17,251
1/08/2017;17,04
1/09/2017;18,318
1/10/2017;18,484
1/11/2017;17,995
1/12/2017;17,903
1/01/2018;17,508
1/02/2018;17,461
1/03/2018;17,628
1/04/2018;17,651
1/05/2018;17,558
1/06/2018;17,571
1/07/2018;17,456
1/08/2018;17,39
1/09/2018;17,828
1/10/2018;18,299
1/11/2018;18,02
1/12/2018;18,167
1/01/2019;17,291
1/02/2019;16,968
1/03/2019;17,733
1/04/2019;16,898
1/05/2019;17,725
1/06/2019;17,68
1/07/2019;17,551
1/08/2019;17,635
1/09/2019;17,77
1/10/2019;17,425
1/11/2019;17,645
1/12/2019;17,54
1/01/2020;17,314
1/02/2020;17,061
1/03/2020;11,68
1/04/2020;8,923
1/05/2020;12,328
1/06/2020;13,271
1/07/2020;15,075
1/08/2020;15,704
1/09/2020;16,692
1/10/2020;17,084
1/11/2020;16,492
1/12/2020;16,927
1/01/2021;17,327
1/02/2021;16,106
1/03/2021;18,223
1/04/2021;18,655
1/05/2021;17,177
1/06/2021;15,757
1/07/2021;15,067
1/08/2021;13,486
1/09/2021;12,731
1/10/2021;13,662
1/11/2021;13,542
1/12/2021;13,172
1/01/2022;15,55
1/02/2022;14,166
1/03/2022;14,007
1/04/2022;14,739
1/05/2022;13,043
1/06/2022;13,52
